DATA,NU_ANO,NU_DIA,NU_SEMESTRE,DS_SEMESTRE,NU_ANO_SEMESTRE,DS_SEMESTRE_ANO,NU_TRIMESTRE,DS_TRIMESTRE,NU_ANO_TRIMESTRE,DS_ANO_TRIMESTRE,NU_MES,DS_MES,DS_MES_SIGLA,NU_ANO_MES,DS_MES_ANO,NU_DIA_SEMANA,DS_DIA_SEMANA,DS_DIA_SEMANA_SIGLA
"10/04/2000,2000,10,1,""1º Sem."",20001,""S1/2000"",2,""2º Trim."",20002,""T2/2000"",4,""ABRIL"",""ABR"",200004,""ABR/2000"",2,""SEGUNDA"",""SEG"""
"11/04/2000,2000,11,1,""1º Sem."",20001,""S1/2000"",2,""2º Trim."",20002,""T2/2000"",4,""ABRIL"",""ABR"",200004,""ABR/2000"",3,""TERCA"",""TER"""
"12/04/2000,2000,12,1,""1º Sem."",20001,""S1/2000"",2,""2º Trim."",20002,""T2/2000"",4,""ABRIL"",""ABR"",200004,""ABR/2000"",4,""QUARTA"",""QUA"""
"13/04/2000,2000,13,1,""1º Sem."",20001,""S1/2000"",2,""2º Trim."",20002,""T2/2000"",4,""ABRIL"",""ABR"",200004,""ABR/2000"",5,""QUINTA"",""QUI"""
"14/04/2000,2000,14,1,""1º Sem."",20001,""S1/2000"",2,""2º Trim."",20002,""T2/2000"",4,""ABRIL"",""ABR"",200004,""ABR/2000"",6,""SEXTA"",""SEX"""
"15/04/2000,2000,15,1,""1º Sem."",20001,""S1/2000"",2,""2º Trim."",20002,""T2/2000"",4,""ABRIL"",""ABR"",200004,""ABR/2000"",7,""SABADO"",""SAB"""
"16/04/2000,2000,16,1,""1º Sem."",20001,""S1/2000"",2,""2º Trim."",20002,""T2/2000"",4,""ABRIL"",""ABR"",200004,""ABR/2000"",1,""DOMINGO"",""DOM"""
"17/04/2000,2000,17,1,""1º Sem."",20001,""S1/2000"",2,""2º Trim."",20002,""T2/2000"",4,""ABRIL"",""ABR"",200004,""ABR/2000"",2,""SEGUNDA"",""SEG"""
"18/04/2000,2000,18,1,""1º Sem."",20001,""S1/2000"",2,""2º Trim."",20002,""T2/2000"",4,""ABRIL"",""ABR"",200004,""ABR/2000"",3,""TERCA"",""TER"""
"19/04/2000,2000,19,1,""1º Sem."",20001,""S1/2000"",2,""2º Trim."",20002,""T2/2000"",4,""ABRIL"",""ABR"",200004,""ABR/2000"",4,""QUARTA"",""QUA"""
"20/04/2000,2000,20,1,""1º Sem."",20001,""S1/2000"",2,""2º Trim."",20002,""T2/2000"",4,""ABRIL"",""ABR"",200004,""ABR/2000"",5,""QUINTA"",""QUI"""
"21/04/2000,2000,21,1,""1º Sem."",20001,""S1/2000"",2,""2º Trim."",20002,""T2/2000"",4,""ABRIL"",""ABR"",200004,""ABR/2000"",6,""SEXTA"",""SEX"""
"22/04/2000,2000,22,1,""1º Sem."",20001,""S1/2000"",2,""2º Trim."",20002,""T2/2000"",4,""ABRIL"",""ABR"",200004,""ABR/2000"",7,""SABADO"",""SAB"""
"23/04/2000,2000,23,1,""1º Sem."",20001,""S1/2000"",2,""2º Trim."",20002,""T2/2000"",4,""ABRIL"",""ABR"",200004,""ABR/2000"",1,""DOMINGO"",""DOM"""
"24/04/2000,2000,24,1,""1º Sem."",20001,""S1/2000"",2,""2º Trim."",20002,""T2/2000"",4,""ABRIL"",""ABR"",200004,""ABR/2000"",2,""SEGUNDA"",""SEG"""
"25/04/2000,2000,25,1,""1º Sem."",20001,""S1/2000"",2,""2º Trim."",20002,""T2/2000"",4,""ABRIL"",""ABR"",200004,""ABR/2000"",3,""TERCA"",""TER"""
"26/04/2000,2000,26,1,""1º Sem."",20001,""S1/2000"",2,""2º Trim."",20002,""T2/2000"",4,""ABRIL"",""ABR"",200004,""ABR/2000"",4,""QUARTA"",""QUA"""
"27/04/2000,2000,27,1,""1º Sem."",20001,""S1/2000"",2,""2º Trim."",20002,""T2/2000"",4,""ABRIL"",""ABR"",200004,""ABR/2000"",5,""QUINTA"",""QUI"""
"28/04/2000,2000,28,1,""1º Sem."",20001,""S1/2000"",2,""2º Trim."",20002,""T2/2000"",4,""ABRIL"",""ABR"",200004,""ABR/2000"",6,""SEXTA"",""SEX"""
"29/04/2000,2000,29,1,""1º Sem."",20001,""S1/2000"",2,""2º Trim."",20002,""T2/2000"",4,""ABRIL"",""ABR"",200004,""ABR/2000"",7,""SABADO"",""SAB"""
"30/04/2000,2000,30,1,""1º Sem."",20001,""S1/2000"",2,""2º Trim."",20002,""T2/2000"",4,""ABRIL"",""ABR"",200004,""ABR/2000"",1,""DOMINGO"",""DOM"""
"01/05/2000,2000,1,1,""1º Sem."",20001,""S1/2000"",2,""2º Trim."",20002,""T2/2000"",5,""MAIO"",""MAI"",200005,""MAI/2000"",2,""SEGUNDA"",""SEG"""
"02/05/2000,2000,2,1,""1º Sem."",20001,""S1/2000"",2,""2º Trim."",20002,""T2/2000"",5,""MAIO"",""MAI"",200005,""MAI/2000"",3,""TERCA"",""TER"""
"03/05/2000,2000,3,1,""1º Sem."",20001,""S1/2000"",2,""2º Trim."",20002,""T2/2000"",5,""MAIO"",""MAI"",200005,""MAI/2000"",4,""QUARTA"",""QUA"""
"04/05/2000,2000,4,1,""1º Sem."",20001,""S1/2000"",2,""2º Trim."",20002,""T2/2000"",5,""MAIO"",""MAI"",200005,""MAI/2000"",5,""QUINTA"",""QUI"""
"05/05/2000,2000,5,1,""1º Sem."",20001,""S1/2000"",2,""2º Trim."",20002,""T2/2000"",5,""MAIO"",""MAI"",200005,""MAI/2000"",6,""SEXTA"",""SEX"""
"06/05/2000,2000,6,1,""1º Sem."",20001,""S1/2000"",2,""2º Trim."",20002,""T2/2000"",5,""MAIO"",""MAI"",200005,""MAI/2000"",7,""SABADO"",""SAB"""
"07/05/2000,2000,7,1,""1º Sem."",20001,""S1/2000"",2,""2º Trim."",20002,""T2/2000"",5,""MAIO"",""MAI"",200005,""MAI/2000"",1,""DOMINGO"",""DOM"""
"08/05/2000,2000,8,1,""1º Sem."",20001,""S1/2000"",2,""2º Trim."",20002,""T2/2000"",5,""MAIO"",""MAI"",200005,""MAI/2000"",2,""SEGUNDA"",""SEG"""
"09/05/2000,2000,9,1,""1º Sem."",20001,""S1/2000"",2,""2º Trim."",20002,""T2/2000"",5,""MAIO"",""MAI"",200005,""MAI/2000"",3,""TERCA"",""TER"""
