cod_orgao_julg;Atuacao_Vara
4029;Cível
4030;Cível
40302;Cível
40326;Cível
4034;Fazenda
40343;Cível
4041;Cível
4042;Criminal
4044;Cível
4046;Cível
4050;Criminal
4055;Criminal
4056;Geral
4062;Cível
4064;Geral
4065;Cível
4071;Cível
4073;Geral
4076;Criminal
4078;Cível
4080;Cível
4083;Geral
4089;Cível
4097;Cível
4102;Geral
4103;Cível
4109;Geral
4110;Cível
4120;Criminal
4125;Geral
4126;Geral
4136;Cível
4150;Criminal
4156;Criminal
4160;Criminal
4164;Criminal
4167;Criminal
4184;Criminal
4187;Criminal
4193;Criminal
4222;Criminal
4223;Cível
4224;Criminal
4228;Criminal
4229;Cível
4234;Criminal
4241;Criminal
4244;Geral
4250;Criminal
4256;Geral
4257;Criminal
4269;Criminal
4272;Cível
4273;Cível
4276;Cível
4278;Criminal
4285;Cível
4292;Cível
4295;Geral
4297;Cível
4303;Cível
4307;Geral
4308;Criminal
4319;Criminal
4320;Criminal
4324;Criminal
4329;Cível
4332;Cível
4333;Cível
4334;Cível
4338;Geral
4342;Cível
4347;Cível
4358;Cível
4359;Criminal
4361;Geral
4363;Criminal
4364;Cível
4366;Criminal
4376;Geral
4378;Geral
4379;Execução Fiscal
4382;Geral
4384;Cível
4392;Geral
4395;Geral
4403;Cível
4409;Geral
4411;Execução Fiscal
4422;Geral
5224;Cível
5236;Criminal
5243;Criminal
5251;Criminal
5263;Cível
5266;Cível
5282;Criminal
5293;Cível
5294;Cível
5301;Geral
5317;Geral
5323;Geral
5325;Criminal
5330;Criminal
5335;Criminal
5338;Criminal
5339;Criminal
5343;Geral
5350;Criminal
5353;Criminal
5360;Geral
5363;Cível
5378;Cível
5385;Cível
5386;Cível
5388;Cível
5414;Cível
5416;Fazenda
5422;Cível
5441;Execução Fiscal
5442;Criminal
5457;Execução Fiscal
5459;Cível
5511;Cível
5513;Geral
5528;Cível
5535;Cível
5564;Cível
5601;Cível
5612;Geral
5620;Cível
5626;Cível
5632;Geral
5638;Geral
5678;Geral
5691;Geral
5695;Cível
5706;Criminal
5727;Cível
5734;Cível
5736;Cível
5740;Criminal
5741;Cível
5745;Geral
5746;Cível
5766;Geral
5780;Geral
5790;Criminal
5797;Geral
5799;Fazenda
5809;Criminal
5817;Cível
5833;Criminal
5870;Cível
6012;Cível
6032;Cível
6035;Geral
6049;Cível
6058;Cível
6064;Cível
6068;Cível
6125;Execução Fiscal
6138;Cível
6188;Cível
6227;Cível
6241;Cível
6269;Cível
6320;Cível
6437;Cível
6441;Cível
6452;Execução Fiscal
78364;Fazenda
78365;Fazenda
78831;Criminal
79467;Fazenda
80252;Criminal
80300;Criminal
80301;Criminal
81130;Cível
81131;Cível
81132;Criminal
81133;Criminal
81339;Cível
81366;Criminal
8160;Cível
8162;Cível
8166;Cível
8167;Cível
8168;Criminal
8170;Criminal
8171;Cível
8175;Criminal
9088;Execução Fiscal
9174;Cível
9238;Cível
14141;Militar
14142;Militar
14143;Militar
81647;Militar
17970;Cível
29005;Cível
29007;Militar
29008;Militar
29009;Militar
29011;Militar
29012;Militar
32091;Militar
11234;Cível
11740;Execução Fiscal
16501;Criminal
18001;Cível
18344;Trabalho
18345;Trabalho
18392;Execução Fiscal
48402;Criminal
48415;Criminal
48435;Geral
48493;Geral
48509;Cível
48523;Geral
48614;Geral
48616;Criminal
48622;Criminal
48624;Criminal
48625;Cível
48626;Criminal
48631;Criminal
48637;Criminal
48638;Criminal
48640;Criminal
48643;Cível
48732;Cível
48735;Cível
51792;Cível
51807;Cível
51808;Cível
51809;Cível
51810;Cível
6286;Cível
6295;Cível
6298;Trabalho
6304;Cível
6315;Cível
6316;Cível
6317;Cível
6319;Cível
6322;Cível
6325;Cível
6341;Cível
6342;Cível
6343;Cível
6344;Cível
6346;Cível
6356;Geral
6371;Criminal
6373;Criminal
6374;Criminal
6377;Cível
6381;Criminal
6382;Criminal
6383;Criminal
6385;Criminal
6387;Criminal
6390;Cível
6493;Cível
6495;Cível
6496;Cível
6498;Cível
6500;Cível
6501;Cível
6502;Cível
6505;Cível
6536;Execução Fiscal
6540;Execução Fiscal
6542;Criminal
6543;Criminal
6557;Trabalho
6565;Cível
6610;Cível
6611;Fazenda
6616;Fazenda
6636;Criminal
6647;Cível
6678;Cível
