MOVIMENTO;NATUREZA;GRAU;RELEVANCIA;FASE;
354 - Decretação de Prisão Civil - Alimentos ;;;0;;
355 - Decretação de Prisão Civil - Depositário infiel ;;;0;;
357 - Desacolhimento de Prisão - Temporária ;;;0;;
358 - Desacolhimento de Prisão - Preventiva ;;;0;;
36 - Distribuidor - Redistribuição ;GERAL;;1;F1 - CONHECIMENTO;INICIA  F1
371 - Acolhimento de exceção - Incompetência ;;;0;;
373 - Rejeição - Exceção de Impedimento ou Suspeição ;;;0;;
374 - Rejeição - Exceção de incompetência ;;;0;;
377 - Homologação - Acordo em execução ou em cumprimento de sentença ;CIVEL;;1;F3 - CUMPRIMENTO DE SENTENÇA;ENCERRA F3
378 - Decisão - Homologação ;;;0;;RAIZ
381 - Concessão de efeito suspensivo - Recurso ;GERAL;2G;1;F2 - RECURSO;
383 - Concessão de efeito suspensivo - Impugnação ao cumprimento de sentença ;CIVEL;;1;F3 - CUMPRIMENTO DE SENTENÇA;
385 - Julgamento - Com Resolução do Mérito ;;;0;;RAIZ
388 - Recebimento - Aditamento da denúncia ;CRIMINAL;;1;F1 - CONHECIMENTO;
391 - Recebimento - Denúncia ;CRIMINAL;;1;F1 - CONHECIMENTO;
393 - Recebimento - Queixa ;CRIMINAL;;1;F1 - CONHECIMENTO;
394 - Recurso - Com efeito suspensivo ;GERAL;2G;1;F2 - RECURSO;
399 - Rejeição - Aditamento da denúncia ;CRIMINAL;;1;F1 - CONHECIMENTO;
402 - Rejeição - Denúncia ;CRIMINAL;;1;F1 - CONHECIMENTO;
404 - Rejeição - Queixa ;CRIMINAL;;1;F1 - CONHECIMENTO;
417 - Escrivão/Diretor de Secretaria/ Secretário Jurídico - Inclusão em pauta ;;;0;;
429 - Admissão - Recurso extraordinário ;GERAL;;1;F2 - RECURSO;
430 - Admissão - Recurso especial ;GERAL;;1;F2 - RECURSO;
432 - Não-Admissão - Recurso Extraordinário ;GERAL;;1;F2 - RECURSO;
