"classeProcessual","codigoLocalidade","orgaoJulgador_codigoOrgao","assunto_codigoNacional","codigo_ultima_movimentacao","mes_ajuizamento","alvo_processos_demorados","G1","G2","JE","TR","CRIMINAL","CIVIL","JUIZADOS","EXECUTIVOS","OUTROS","PEQUENO","MÉDIO","GRANDE"
156,1302603,4822,10422,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
157,1302603,4789,10670,22,4,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
172,1302603,4797,9518,22,6,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
172,1302603,4799,4703,22,5,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
172,1302603,4799,7698,22,5,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
193,1302603,4780,9196,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
241,1302603,74447,4841,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
241,1302603,75553,10342,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
241,1302603,75553,10422,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
241,1302603,75553,10342,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
241,1302603,74447,4841,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
241,1302603,74447,10859,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
261,1302603,74447,899,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
261,1302603,74447,6239,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
261,1302603,74447,899,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
261,1302603,74447,7677,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
261,1302603,74447,6239,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
261,1302603,74447,10859,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
261,1302603,74447,899,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
261,1302603,74447,9160,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
261,1302603,74447,5802,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
261,1302603,74447,6239,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
261,1302603,74447,7698,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
261,1302603,74447,10671,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
261,1302603,74447,7698,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
279,1302603,76533,10949,22,3,"NORMAL",1,0,0,0,1,0,0,0,0,1,0,0
279,1302603,76533,10949,22,4,"NORMAL",1,0,0,0,1,0,0,0,0,1,0,0
279,1302603,76533,3431,22,4,"NORMAL",1,0,0,0,1,0,0,0,0,1,0,0
279,1302603,76533,10750,22,4,"NORMAL",1,0,0,0,1,0,0,0,0,1,0,0
280,1302603,4847,287,22,3,"NORMAL",1,0,0,0,1,0,0,0,0,1,0,0
280,1302603,4845,3608,22,3,"NORMAL",1,0,0,0,1,0,0,0,0,1,0,0
280,1302603,4846,3608,22,4,"NORMAL",1,0,0,0,1,0,0,0,0,1,0,0
280,1302603,4848,3370,22,4,"NORMAL",1,0,0,0,1,0,0,0,0,1,0,0
307,1302603,4806,10632,22,4,"NORMAL",1,0,0,0,1,0,0,0,0,1,0,0
355,1302603,74447,3443,22,3,"NORMAL",1,0,0,0,1,0,0,0,0,1,0,0
355,1302603,74447,287,22,3,"NORMAL",1,0,0,0,1,0,0,0,0,1,0,0
355,1302603,74447,287,22,3,"NORMAL",1,0,0,0,1,0,0,0,0,1,0,0
355,1302603,74447,5566,22,3,"NORMAL",1,0,0,0,1,0,0,0,0,1,0,0
355,1302603,74447,10846,22,4,"NORMAL",1,0,0,0,1,0,0,0,0,1,0,0
355,1302603,74447,11417,22,4,"NORMAL",1,0,0,0,1,0,0,0,0,1,0,0
355,1302603,74447,3465,22,4,"NORMAL",1,0,0,0,1,0,0,0,0,1,0,0
355,1302603,74447,287,22,4,"NORMAL",1,0,0,0,1,0,0,0,0,1,0,0
355,1302603,74447,3416,22,4,"NORMAL",1,0,0,0,1,0,0,0,0,1,0,0
355,1302603,74447,3386,22,4,"NORMAL",1,0,0,0,1,0,0,0,0,1,0,0
355,1302603,74447,287,22,4,"NORMAL",1,0,0,0,1,0,0,0,0,1,0,0
436,1302603,75553,7703,22,3,"NORMAL",1,0,0,0,0,0,1,0,0,1,0,0
436,1302603,75553,7779,22,3,"NORMAL",1,0,0,0,0,0,1,0,0,1,0,0
436,1302603,75553,10671,22,3,"NORMAL",1,0,0,0,0,0,1,0,0,1,0,0
1116,1302603,4841,6017,22,7,"NORMAL",1,0,0,0,0,0,0,1,0,1,0,0
1116,1302603,4841,6017,22,7,"NORMAL",1,0,0,0,0,0,0,1,0,1,0,0
1116,1302603,4841,6017,22,7,"NORMAL",1,0,0,0,0,0,0,1,0,1,0,0
1116,1302603,4841,6017,22,7,"NORMAL",1,0,0,0,0,0,0,1,0,1,0,0
1116,1302603,4841,6017,22,7,"NORMAL",1,0,0,0,0,0,0,1,0,1,0,0
1116,1302603,4841,6017,22,7,"NORMAL",1,0,0,0,0,0,0,1,0,1,0,0
1116,1302603,4841,6017,22,7,"NORMAL",1,0,0,0,0,0,0,1,0,1,0,0
1116,1302603,4841,6017,22,7,"NORMAL",1,0,0,0,0,0,0,1,0,1,0,0
1116,1302603,4841,6017,22,7,"NORMAL",1,0,0,0,0,0,0,1,0,1,0,0
1116,1302603,4841,6017,22,7,"NORMAL",1,0,0,0,0,0,0,1,0,1,0,0
1116,1302603,4841,6017,22,7,"NORMAL",1,0,0,0,0,0,0,1,0,1,0,0
1116,1302603,4841,6017,22,7,"NORMAL",1,0,0,0,0,0,0,1,0,1,0,0
1116,1302603,4841,6017,22,7,"NORMAL",1,0,0,0,0,0,0,1,0,1,0,0
1116,1302603,4841,6017,22,7,"NORMAL",1,0,0,0,0,0,0,1,0,1,0,0
1116,1302603,4841,6017,22,7,"NORMAL",1,0,0,0,0,0,0,1,0,1,0,0
1116,1302603,4841,6017,22,7,"NORMAL",1,0,0,0,0,0,0,1,0,1,0,0
1116,1302603,4841,6017,22,7,"NORMAL",1,0,0,0,0,0,0,1,0,1,0,0
1116,1302603,4841,6017,22,7,"NORMAL",1,0,0,0,0,0,0,1,0,1,0,0
1116,1302603,4841,6017,22,7,"NORMAL",1,0,0,0,0,0,0,1,0,1,0,0
1116,1302603,4841,6017,22,7,"NORMAL",1,0,0,0,0,0,0,1,0,1,0,0
1116,1302603,4841,6017,22,7,"NORMAL",1,0,0,0,0,0,0,1,0,1,0,0
1116,1302603,4841,6017,22,7,"NORMAL",1,0,0,0,0,0,0,1,0,1,0,0
1116,1302603,4841,6017,22,7,"NORMAL",1,0,0,0,0,0,0,1,0,1,0,0
1116,1302603,4841,6017,22,7,"NORMAL",1,0,0,0,0,0,0,1,0,1,0,0
1116,1302603,4841,6017,22,7,"NORMAL",1,0,0,0,0,0,0,1,0,1,0,0
1116,1302603,4841,6017,22,7,"NORMAL",1,0,0,0,0,0,0,1,0,1,0,0
1116,1302603,4841,6017,22,7,"NORMAL",1,0,0,0,0,0,0,1,0,1,0,0
1116,1302603,4841,6017,22,7,"NORMAL",1,0,0,0,0,0,0,1,0,1,0,0
1116,1302603,4841,6017,22,7,"NORMAL",1,0,0,0,0,0,0,1,0,1,0,0
1116,1302603,4841,6017,22,7,"NORMAL",1,0,0,0,0,0,0,1,0,1,0,0
1116,1302603,4841,6017,22,7,"NORMAL",1,0,0,0,0,0,0,1,0,1,0,0
1116,1302603,4841,6017,22,7,"NORMAL",1,0,0,0,0,0,0,1,0,1,0,0
1116,1302603,4841,6017,22,7,"NORMAL",1,0,0,0,0,0,0,1,0,1,0,0
1116,1302603,4841,6017,22,7,"NORMAL",1,0,0,0,0,0,0,1,0,1,0,0
1116,1302603,4841,6017,22,7,"NORMAL",1,0,0,0,0,0,0,1,0,1,0,0
1116,1302603,4841,6017,22,7,"NORMAL",1,0,0,0,0,0,0,1,0,1,0,0
1682,1302603,4839,7732,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
1682,1304062,5079,4701,246,1,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
1727,1302603,4848,3372,22,3,"NORMAL",1,0,0,0,1,0,0,0,0,1,0,0
12154,1302603,4785,4980,22,4,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
12154,1302603,4780,4980,22,4,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
12154,1302603,4798,9596,22,5,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
12154,1302603,4796,4960,22,5,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
12154,1302603,4785,4960,22,5,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
12154,1302603,4797,10462,22,5,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
12154,1302603,4782,10467,22,6,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
12154,1302603,4796,9587,22,6,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
12154,1302603,4788,4980,22,7,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
22,1302603,4907,7779,22,1,"DEMORADO",0,0,1,0,0,1,0,0,0,1,0,0
22,1302603,4907,7779,22,1,"DEMORADO",0,0,1,0,0,1,0,0,0,1,0,0
22,1302603,4907,7779,22,1,"DEMORADO",0,0,1,0,0,1,0,0,0,1,0,0
22,1302603,4907,7779,22,1,"DEMORADO",0,0,1,0,0,1,0,0,0,1,0,0
22,1302603,4907,7779,22,1,"DEMORADO",0,0,1,0,0,1,0,0,0,1,0,0
22,1302603,4907,7779,22,1,"DEMORADO",0,0,1,0,0,1,0,0,0,1,0,0
22,1302603,4907,7779,22,1,"DEMORADO",0,0,1,0,0,1,0,0,0,1,0,0
22,1302603,4907,7779,22,1,"DEMORADO",0,0,1,0,0,1,0,0,0,1,0,0
22,1302603,4907,7779,22,1,"DEMORADO",0,0,1,0,0,1,0,0,0,1,0,0
22,1302603,4907,7779,22,1,"DEMORADO",0,0,1,0,0,1,0,0,0,1,0,0
22,1302603,4907,7779,22,1,"DEMORADO",0,0,1,0,0,1,0,0,0,1,0,0
22,1302603,4907,7779,22,1,"DEMORADO",0,0,1,0,0,1,0,0,0,1,0,0
22,1302603,4907,7779,22,1,"DEMORADO",0,0,1,0,0,1,0,0,0,1,0,0
22,1302603,4907,7779,22,1,"DEMORADO",0,0,1,0,0,1,0,0,0,1,0,0
22,1302603,4907,7779,22,1,"DEMORADO",0,0,1,0,0,1,0,0,0,1,0,0
22,1302603,4907,7779,22,1,"DEMORADO",0,0,1,0,0,1,0,0,0,1,0,0
22,1302603,4907,7779,22,1,"DEMORADO",0,0,1,0,0,1,0,0,0,1,0,0
22,1302603,4907,7779,22,1,"DEMORADO",0,0,1,0,0,1,0,0,0,1,0,0
22,1302603,4907,7779,22,1,"DEMORADO",0,0,1,0,0,1,0,0,0,1,0,0
22,1302603,4907,7779,22,1,"DEMORADO",0,0,1,0,0,1,0,0,0,1,0,0
22,1302603,4907,7779,22,1,"DEMORADO",0,0,1,0,0,1,0,0,0,1,0,0
22,1302603,4907,7779,22,1,"DEMORADO",0,0,1,0,0,1,0,0,0,1,0,0
22,1302603,4907,7779,22,1,"DEMORADO",0,0,1,0,0,1,0,0,0,1,0,0
37,1302603,4907,9163,22,3,"NORMAL",0,0,1,0,0,1,0,0,0,1,0,0
156,1302603,4906,7780,22,3,"NORMAL",0,0,1,0,0,1,0,0,0,1,0,0
156,1302603,4908,7772,22,3,"NORMAL",0,0,1,0,0,1,0,0,0,1,0,0
156,1302603,4913,9163,22,3,"NORMAL",0,0,1,0,0,1,0,0,0,1,0,0
156,1302603,4908,11811,22,3,"NORMAL",0,0,1,0,0,1,0,0,0,1,0,0
156,1302603,4908,11811,22,3,"NORMAL",0,0,1,0,0,1,0,0,0,1,0,0
278,1301209,5065,3386,246,2,"NORMAL",0,0,1,0,1,0,0,0,0,1,0,0
278,1302603,4923,3581,22,3,"NORMAL",0,0,1,0,1,0,0,0,0,1,0,0
278,1302603,4923,3581,22,3,"NORMAL",0,0,1,0,1,0,0,0,0,1,0,0
